"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"SERIES"
"id","label","description"
"FXCADUSD","CAD/USD","Canadian dollar to US dollar daily exchange rate"

"OBSERVATIONS"
"date","FXCADUSD"
"2018-10-26","0.7629"
"2018-10-29","0.7623"
"2018-10-30","0.7614"
"2018-10-31","0.7609"
"2018-11-01","0.7641"
"2018-11-02","0.7631"
"2018-11-05","0.7636"
"2018-11-06","0.7616"
"2018-11-07","0.7636"
"2018-11-08","0.7625"
"2018-11-09","0.7572"
"2018-11-13","0.7552"
"2018-11-14","0.7556"
"2018-11-15","0.7575"
"2018-11-16","0.7602"
"2018-11-19","0.7586"
"2018-11-20","0.7542"
"2018-11-21","0.7536"
"2018-11-22","0.7573"
"2018-11-23","0.7560"
"2018-11-26","0.7559"
"2018-11-27","0.7525"
"2018-11-28","0.7518"
"2018-11-29","0.7533"
"2018-11-30","0.7518"
"2018-12-03","0.7581"
"2018-12-04","0.7565"
"2018-12-05","0.7489"
"2018-12-06","0.7460"
"2018-12-07","0.7519"
"2018-12-10","0.7474"
"2018-12-11","0.7462"
"2018-12-12","0.7493"
"2018-12-13","0.7486"
"2018-12-14","0.7474"
"2018-12-17","0.7463"
"2018-12-18","0.7433"
"2018-12-19","0.7435"
"2018-12-20","0.7410"
"2018-12-21","0.7371"
"2018-12-24","0.7359"
"2018-12-27","0.7331"
"2018-12-28","0.7332"
"2018-12-31","0.7330"
"2019-01-02","0.7353"
"2019-01-03","0.7407"
"2019-01-04","0.7457"
"2019-01-07","0.7511"
"2019-01-08","0.7523"
"2019-01-09","0.7564"
"2019-01-10","0.7556"
"2019-01-11","0.7542"
"2019-01-14","0.7536"
"2019-01-15","0.7538"
"2019-01-16","0.7548"
"2019-01-17","0.7522"
"2019-01-18","0.7541"
"2019-01-21","0.7520"
"2019-01-22","0.7496"
"2019-01-23","0.7492"
"2019-01-24","0.7490"
"2019-01-25","0.7544"
"2019-01-28","0.7541"
"2019-01-29","0.7538"
"2019-01-30","0.7580"
"2019-01-31","0.7608"
"2019-02-01","0.7637"
"2019-02-04","0.7618"
"2019-02-05","0.7614"
"2019-02-06","0.7582"
"2019-02-07","0.7527"
"2019-02-08","0.7536"
"2019-02-11","0.7522"
"2019-02-12","0.7548"
"2019-02-13","0.7553"
"2019-02-14","0.7520"
"2019-02-15","0.7538"
"2019-02-19","0.7554"
"2019-02-20","0.7594"
"2019-02-21","0.7578"
"2019-02-22","0.7591"
"2019-02-25","0.7591"
"2019-02-26","0.7579"
"2019-02-27","0.7607"
"2019-02-28","0.7594"
"2019-03-01","0.7541"
"2019-03-04","0.7509"
"2019-03-05","0.7493"
"2019-03-06","0.7452"
"2019-03-07","0.7442"
"2019-03-08","0.7450"
"2019-03-11","0.7455"
"2019-03-12","0.7475"
"2019-03-13","0.7504"
"2019-03-14","0.7504"
"2019-03-15","0.7495"
"2019-03-18","0.7493"
"2019-03-19","0.7523"
"2019-03-20","0.7509"
"2019-03-21","0.7482"
"2019-03-22","0.7457"
"2019-03-25","0.7452"
"2019-03-26","0.7470"
"2019-03-27","0.7455"
"2019-03-28","0.7447"
"2019-03-29","0.7483"
"2019-04-01","0.7498"
"2019-04-02","0.7494"
"2019-04-03","0.7505"
"2019-04-04","0.7487"
"2019-04-05","0.7470"
"2019-04-08","0.7505"
"2019-04-09","0.7510"
